"uid","title","species"
"WOS:000221685300003","Molecular and morphological comparisons between Gyrodactylus ostendicus n. sp (Monogenea : Gyrodactylidae) on Pomatoschistus microps (Kroyer) and G-harengi Malmberg, 1957 on Clupea harengus membras L.","Pomatoschistus microps"
"WOS:000221733000019","Case of megaloblastic anemia caused by intestinal taeniasis","Diphyllobothrium latum"
"WOS:000221806500011","Inter-clonal variation in phototactic behaviour and key life-history traits in a metapopulation of the cyclical parthenogen Daphnia ambigua: the effect of fish kairomones","Daphnia hyalina"
"WOS:000221815500004","Xenoestrogenic effects of ethinylestradiol in zebrafish (Danio rerio)","Oryzias latipes"
"WOS:000221832300008","An unexpected parallelism between Vitamin A and PCBs in seal milk","Phoca vitulina"
"WOS:000221880400112","Involvement of sex steroids in final stages of oogenesis in Eurasian perch, Perca fluviatilis","Perca fluviatilis"
"WOS:000221880400141","Influence of photoperiod regimes on the Eurasian perch gonadogenesis and spawning","Perca fluviatilis"
"WOS:000222289600021","The use of genetic tools for the evaluation of a potential migration barrier for the bullhead","Gobio gobio"
"WOS:000222557600010","Induction and binding of Cd, Cu, and Zn to metallothionein in carp (Cyprinus carpio) using HPLC-ICP-TOFMS","Cyprinus carpio"
"WOS:000222718100003","Two hundred years of a diverse Daphnia community in Lake Naivasha (Kenya): effects of natural and human-induced environmental changes","Daphnia pulex"
"WOS:000222816500011","Cloning and tissue distribution of the chicken type 2 corticotropin-releasing hormone receptor","Oncorhynchus keta"
"WOS:000222851600015","Small-scale clinal variation, genetic diversity and environmental heterogeneity in the marine gobies Pomatoschistus minutus and P-lozanoi (Gobiidae, Teleostei)","Fundulus lozanoi"
"WOS:000223019100002","Modeling growth and carbon allocation in two reed beds (Phragmites australis) in the Scheldt estuary","Phragmites australis"
"WOS:000223142800013","The Sellaphora pupula species complex (Bacillariophyceae): morphometric analysis, ultrastructure and mating data provide evidence for five new species","Navicula lanceolata"
"WOS:000223180800002","Ontogenic and ecological control of metamorphosis onset in a carapid fish, Carapus homei: Experimental evidence from vertebra and otolith comparisons","Salmo gairdneri"
"WOS:000223239600020","Estrogenic and toxic effects of methoxychlor on zebrafish (Danio rerio)","Oryzias latipes"
"WOS:000223264400003","Moss-inhabiting diatom communities from Heard Island, sub-Antarctic","Fragilaria capucina"
"WOS:000223353000007","Temporal variation in feeding rhythms in a tidal marsh population of the common goby Pomatoschistus microps (Kroyer, 1838)","Pomatoschistus microps"
"WOS:000223376700009","The random amplified polymorphic DNA (RAPD) assay to determine DNA alterations, repair and transgenerational effects in B(a)P exposed Daphnia magna","Daphnia magna"
"WOS:000223687800031","Decomposition dynamic of higher plant pigments by HPLC analysis","Phragmites australis"
"WOS:000223855600013","Preliminary study of the scars borne by Gammaridae (Amphipoda, Crustacea)","Dikerogammarus villosus"
"WOS:000223912300019","What have the Romans ever done for us? The past and future contribution of culture studies to diatom systematics","Gomphonema parvulum"
"WOS:000223915900009","Large intercontinental differentiation of Moina micrura (Crustacea : Anomopoda): one less cosmopolitan cladoceran?","Moina micrura"
"WOS:000223915900015","Interactions between the anomopod cladocerans Ceriodaphnia dubia, C-cornuta, Simocephalus vetulus and S-serrulatus, the aphanoneurid worm Aeolosoma sp., and the fish Skiffia lermae: predation or competition, or both?","Simocephalus vetulus"
"WOS:000223982600010","Apomixis in Achnanthes (Bacillariophyceae); development of a model system for diatom reproductive biology","Achnanthes longipes"
"WOS:000224029700001","Auxosporulation of Licmophora communis (Bacillarlophyta) and a review of mating systems and sexual reproduction in araphid pennate diatoms","Achnanthes longipes"
"WOS:000224105000005","Sexual dimorphism in head shape and diet in the cottonmouth snake (Agkistrodon piscivorus)","Agkistrodon piscivorus"
"WOS:000224257000005","The genus Pleuroxus Baird, 1843 (Crustacea : Anomopoda : Chydoridae) in Cameroon, Central-West Africa.","Pleuroxus aduncus"
"WOS:000224390400002","Four new species of Gyrodactylus von Nordmann, 1832 (Monogenea, Gyrodactylidae) on gobiid fishes: combined DNA and morphological analyses","Pomatoschistus microps"
"WOS:000224471700002","Measurement of EROD activity: Caution on spectral properties of standards used","Platichthys flesus"
"WOS:000224659500006","Food niche segregation between the Malachite Kingfisher, Alcedo cristata, and the Pied Kingfisher, Ceryle rudis, at Lake Nokoue, Benin","Sarotherodon melanotheron"
"WOS:000224664300016","Mycobacterium marinum strains can be divided into two distinct types based on genetic diversity and virulence","Mycobacterium marinum"
"WOS:000224781400065","Characterization of a novel close-to-root papillomavirus from a Florida manatee by using multiply primed rolling-circle amplification: Trichechus manatus latirostris papillomavirus type 1","Trichechus manatus"
"WOS:000224793600011","Distributon and fate of HBCD and TBBPA brominated flame retardants in north sea estuaries and aquatic food webs","Phoca vitulina"
"WOS:000225023000002","A review of the culture potential of Solea solea and S-senegalensis","Salmo labrax"
"WOS:000225024000007","Influence of tropical seasonal changes on oocyte diameter, responses to hormonal induction and hatching quality in two strains of the catfish, Heterobranchus longifilis Val. (Clariidae)","Salmo gairdneri"
"WOS:000225024000008","Effects of storage and incubation temperature on the viability of eggs, embryos and larvae in two strains of an African catfish, Heterobranchus longifilis (Siluriformes, Clariidae)","Oncorhynchus keta"
"WOS:000225070700040","Influence of photoperiod on the onset of gonadogenesis in Eurasian perch Perca fluviatilis","Perca fluviatilis"
"WOS:000225078400010","Assessment of residency and movement of the endangered bullhead (Cottus gobio) in two Flemish rivers","Gobio gobio"
"WOS:000225130600003","Experimental studies an sexual reproduction in diatoms","Thalassiosira pseudonana"
"WOS:000225178400004","Spawning habitat enhancement in the European bullhead (Cottus gobio), an endangered freshwater fish in degraded lowland rivers","Gobio gobio"
"WOS:000225354200002","Optimization and validation of a micellar electrokinetic chromatographic method for the analysis of florfenicol","Salmo salmo"
"WOS:000225355600012","Use of a natural aquatic fern, Azolla microphylla, as a main component in food for the omnivorous-phytoplanktonophagous tilapia, Oreochromis niloticus L.","Oreochromis niloticus"
"WOS:000225403400003","Stress and how bacteria cope with death and survival","Vibrio subtilis"
"WOS:000225460600003","Tetraodon genome confirms Takifugu findings: most fish are ancient polyploids","Tetraodon rubripes"
"WOS:000225532000002","Tissue-specific Cu bioaccumulation patterns and differences in sensitivity to waterborne Cu in three freshwater fish: rainbow trout (Oncorhynchus mykiss), common carp (Cyprinus carpio), and gibel carp (Carassius auratus gibelio)","Salmo mykiss"
"WOS:000225532000007","Reproductive toxicity of dietary zinc to Daphnia magna","Daphnia magna"
"WOS:000225532900013","Bioavailability and chronic toxicity of zinc to juvenile rainbow trout (Oncorhynchus mykiss): Comparison with other fish species and development of a biotic ligand model","Phoxinus phoxinus"
"WOS:000225624700016","Effect of microcystin-LR on protein phosphatase activity and glycogen content in isolated hepatocytes of fed and fasted juvenile goldfish Carassius auratus L.","Carassius carassius"
"WOS:000225759900012","Current and historic gene flow of the sand goby Pomatoschistus minutus on the European Continental Shelf and in the Mediterranean Sea","Salmo salar"
"WOS:000225781300051","Long-term exposure to environmental concentrations of the pharmaceutical ethynylestradiol causes reproductive failure in fish","Rutilus rutilus"
"WOS:000226084800002","Constructed wetlands in Flanders: a performance analysis","Phragmites australis"
"WOS:000226310200040","Gynogenesis induction and sex determination in the Eurasian perch, Perca fluviatilis","Perca fluviatilis"
"WOS:000226380400068","PCR amplification with primers based on IS2404 and GC-rich repeated sequence reveals polymorphism in Mycobacterium ulcerans","Mycobacterium marinum"
"WOS:000226408400003","Prevalence of Brucella pinnipediae in healthy hooded seals (Cystophora cristata) from the North Atlantic Ocean and ringed seals (Phoca hispida) from Svalbard","Phoca vitulina"
"WOS:000226431000003","Effects of sex steroids and their inhibitors on endocrine parameters and gender growth differences in Eurasian perch (Perca fluviatilis) juveniles","Perca fluviatilis"
"WOS:000226447900016","PCBs and DDT in the serum of juvenile California sea lions: associations with vitamins A and E and thyroid hormones","Phoca vitulina"
"WOS:000226721401031","Do juvenile snakes compensate for their small size when feeding? Ontogeny of feeding performance in the water snake, Nerodia fasciata","Nerodia fasciata"
"WOS:000226721401133","The functional meaning of ""prey size"" in snakes: Influence of prey dimensions on feeding function and performance in water snakes (Nerodia fasciata)","Nerodia fasciata"
"WOS:000226737400004","Lipid content and fatty acid composition of target tissues in wild Perca fluviatilis females in relation to hepatic status and gonad maturation","Perca labrax"
"WOS:000226737900017","Growth rate correlates to individual heterozygosity in the european eel, Anguilla anguilla L.","Anguilla anguilla"
"WOS:000226929000003","Tertiary treatment of the liquid fraction of pig manure with Phragmites australis","Phragmites australis"
"WOS:000226937800005","Electrofishing versus gillnet sampling for the assessment of fish assemblages in large rivers","Abramis brama"
"WOS:000227120900018","Polychlorinated biphenyls, dioxins, and furans in weaned, free-ranging northern elephant seal pups from central California, USA","Phoca vitulina"
"WOS:000227191600011","Genotyping Mycobacterium ulcerans and Mycobacterium marinum by using mycobacterial interspersed repetitive units","Mycobacterium marinum"
"WOS:000227224700010","Retention-time database of 126 polybrominated diphenyl ether congeners and two Bromkal technical mixtures on seven capillary gas chromatographic columns","Cyprinus carpio"
"WOS:000227284700003","Biomonitoring of tin and arsenic in different compartments of a limnic ecosystem with emphasis on Corbicula fluminea and Dikerogammarus villosus","Dikerogammarus villosus"
"WOS:000227492300011","Early detection of Toxoplasma infection by molecular monitoring of Toxoplasma gondii in peripheral blood samples after allogeneic stem cell transplantation","Toxoplasma gondii"
"WOS:000227568000020","Are breeding teeth in Atlantic salmon a component of the drastic alterations of the oral facial skeleton?","Salmo salmo"
"WOS:000227634400011","High dispersal capacity of cladoceran zooplankton in newly founded communities","Daphnia pulex"
"WOS:000227659200002","Comparative study of the reproductive characteristics of XY male and hormonally sex-reversed XX male Eurasian perch, Perca fluviatilis","Salmo mykiss"
"WOS:000227661100009","Branchial chamber tissues in two caridean shrimps: the epibenthic Palaemon adspersus and the deep-sea hydrothermal Rimicaris exoculata","Macrobrachium carcinus"
"WOS:000227720800009","Effect of dietary protein, lipid and carbohydrate ratio on growth, feed efficiency and body composition of pikeperch Sander lucioperca fingerlings","Stizostedion lucioperca"
"WOS:000227721900009","Detecting Holocene divergence in the anadromous-freshwater three-spined stickleback (Gasterosteus aculeatus) system","Gasterosteus aculeatus"
"WOS:000227726900009","Fungal diversity and community structure on Phragmites australis (Poaceae) along a salinity gradient in the Scheldt estuary (Belgium)","Phragmites australis"
"WOS:000227903600003","Lodothyronine deiodinases and the control of plasma and tissue thyroid hormone levels in hyperthyroid tilapia (Oreochromis niloticus)","Oreochromis niloticus"
"WOS:000227968500002","The composition and community structure of the ichthyofauna of the upper Scheldt estuary: synthesis of a 10-year data collection (1991-2001)","Pomatoschistus microps"
"WOS:000228391300004","Development of cladoceran egg banks in new and isolated pools","Simocephalus vetulus"
"WOS:000228395900010","Beyond the Mediterranean peninsulas: evidence of central European glacial refugia for a temperate forest mammal species, the bank vole (Clethrionomys glareolus)","Rutilus rutilus"
"WOS:000228404100007","Multilocus variable-number tandem repeat typing of Mycobacterium ulcerans","Mycobacterium marinum"
"WOS:000228404100010","European multicenter study of the LIAISON automated diagnostic system for determination of Toxoplasma gondii-specific immunoglobulin G (IgG) and IgM and the IgG avidity index","Toxoplasma gondii"
"WOS:000228428800008","Early development of the head skeleton in Brycon moorei (Pisces, Ostariophysi, Characidae)","Chrysichthys auratus"
"WOS:000228587300007","Carnobacterium divergens and Carnobacterium maltaromaticum as spoilers or protective cultures in meat and seafood: phenotypic and genotypic characterization","Salvelinus alpinus"
"WOS:000228610300015","Optimisation of pressurized liquid extraction for the determination of seven selected polychlorinated biphenyls in feed samples","Salmo salar"
"WOS:000228627100038","Biotic ligand model prediction of copper toxicity to daphnids in a range of natural waters in Chile","Daphnia pulex"
"WOS:000228924800004","Use and effect of freeze branding on roach (Rutilus rutilus L.)","Rutilus rutilus"
"WOS:000229000200002","Migration barriers protect indigenous brown trout (Salmo trutta) populations from introgression with stocked hatchery fish","Trutta trutta"
"WOS:000229127600004","High swimming and metabolic activity in the deep-sea eel Synaphobranchus kaupii revealed by integrated in situ and in vitro measurements","Anguilla rostrata"
"WOS:000229253900005","Redescription of Leydigia parva Daday, 1905 and assignment to Parvalona gen. nov (Cladocera : Anomopoda : Chydoridae)","Parvalona parva"
"WOS:000229322900008","Comparisons of aquatic versus terrestrial predatory strikes in the pitviper, Agkistrodon piscivorus","Agkistrodon piscivorus"
"WOS:000229349100012","Auxosporulation, mating system, and reproductive isolation in Neidium (Bacillariophyta)","Achnanthes longipes"
"WOS:000229606200004","Early interactions of Flavobacterium psychrophilum with macrophages of rainbow trout Oncorhynchus mykiss","Oncorhynchus mykiss"
"WOS:000229677500024","The zebrafish pob gene entodes a novel protein required for survival of red cone photoreceptor cells","Oryzias latipes"
"WOS:000229684000009","The catadromous European eel Anguilla anguilla (L.) as a model for freshwater evolutionary ecotoxicology: Relationship between heavy metal bioaccumulation, condition and genetic variability","Gambusia holbrooki"
"WOS:000229724400010","Levels of organochlorine pesticides, polychlorinated biphenyls and polybrominated diphenyl ethers in fish species from Kahramanmaras, Turkey","Silurus glanis"
"WOS:000229733900006","Feeding habits of young predatory fishes in marsh creeks situated along the salinity gradient of the Schelde estuary, Belgium and The Netherlands","Pomatoschistus microps"
"WOS:000229867500021","BASSMAP: tools for the genetic improvement of sea bass (Dicentrarchus labrax L.); Construction and preliminary application of a medium density linkage and synteny map","Labrax labrax"
"WOS:000229961500016","A mitogenic view on the evolutionary history of the Holarctic freshwater gadoid, burbot (Lota lota)","Thymallus thymallus"
"WOS:000230047800016","Coping with predator stress: interclonal differences in induction of heat-shock proteins in the water flea Daphnia magna","Daphnia magna"
"WOS:000230194500009","New metallothionein mRNAs in Gobio gobio reveal at least three gene duplication events in cyprinid metallothionein evolution","Gobio gobio"
"WOS:000230444900015","Perfluorooctane sulfonic acid and organohalogen pollutants in liver of three freshwater fish species in Flanders (Belgium): relationships with biochemical and organismal effects","Cyprinus gibelio"
"WOS:000230563100007","Panmixia in the European eel: a matter of time ...","Trutta trutta"
"WOS:000230585100025","Cryptic invasion and dispersal of an American Daphnia in East Africa","Daphnia pulex"
"WOS:000230689300029","Impact of operational maintenance on the asset life of storm reed beds","Phragmites australis"
"WOS:000230827300007","Vitellogenin: A review of analytical methods to detect (anti) estrogenic activity in fish","Salmo salmo"
"WOS:000230870400002","Circulating thyroid hormone levels and iodothyronine deiodinase activities in Nile tilapia (Oreochromis niloticus) following dietary exposure to Endosulfan and Aroclor 1254","Oreochromis niloticus"
"WOS:000230904400005","Dynamics of total body fatty acids during early ontogeny of pikeperch (Sander lucioperca) larvae","Sander lucioperca"
"WOS:000231024000021","Pathogenicity of vibrios to rainbow trout (Oncorhynchus mykiss, Walbaum) and Artemia nauplii","Oncorhynchus mykiss"
"WOS:000231032700011","Fungal ecology and succession on Phragmites australis in a brackish tidal marsh. I. Leaf sheaths","Phragmites australis"
"WOS:000231148000009","Mycobacterium ulcerans toxic macrolide, mycolactone modulates the host immune response and cellular location of M-ulcerans in vitro and in vivo","Mycobacterium marinum"
"WOS:000231247800005","Ecological implications of parasites in natural Daphnia populations","Daphnia magna"
"WOS:000231394300011","The Branchiopoda (Crustacea : Anomopoda, Ctenopoda and Cyclestherida) of the rain forests of Cameroon, West Africa: low abundances, few endemics and a boreal-tropical disjunction","Monospilus dispar"
"WOS:000231460400006","Tooth development in vitro in two teleost fish, the cichlid Hemichromis bimaculatus and the cyprinid Danio rerio","Hemichromis bimaculatus"
"WOS:000231618900007","Habitat selection of aquatic testate amoebae communities on Qeqertarsuaq (Disko Island), West Greenland","Pristis pristis"
"WOS:000231620600002","Assessment of the movement behaviour of the bullhead (Cottus gobio), an endangered European freshwater fish","Gobio gobio"
"WOS:000231656200017","Grazing by meso- and microzooplankton on phytoplankton in the upper reaches of the Schelde estuary (Belgium/The Netherlands)","Moina affinis"
"WOS:000231718800024","Effect of wintering area and climate on the survival of adult Atlantic puffins Fratercula arctica in the eastern Atlantic","Mallotus villosus"
"WOS:000231879200022","Native and exotic Amphipoda and other Peracarida in the River Meuse: new assemblages emerge from a fast changing fauna","Gammarus berilloni"
"WOS:000231879200026","Daphnia species diversity in Kenya, and a key to the identification of their ephippia","Daphnia pulex"
"WOS:000231879200033","The effect of turbidity state and microhabitat on macroinvertebrate assemblages: a pilot study of six shallow lakes","Potamogeton pectinatus"
"WOS:000231941700014","Tissue distribution of perfluorinated chemicals in harbor seals (Phoca vitulina) from the Dutch Wadden Sea","Phoca vitulina"
"WOS:000232033300031","A microsatellite linkage map of the European sea bass Dicentrarchus labrax L.","Labrax labrax"
"WOS:000232434300001","The toxicokinetics of cadmium in carp under normoxic and hypoxic conditions","Cyprinus carpio"
"WOS:000232546800012","Adaptive bone formation in acellular vertebrae of sea bass (Dicentrarchus labrax L.)","Labrax labrax"
"WOS:000232762500054","Comparative nucleotide sequence analysis of polymorphic variable-number tandem-repeat loci in Mycobacterium ulcerans","Mycobacterium marinum"
"WOS:000232787400001","Microhabitat use and preferences of the endangered Cottus gobio in the River Voer, Belgium","Gobio gobio"
"WOS:000232902200015","Overall effect of rice biomass and fish on the aquatic ecology of experimental rice plots","Oreochromis niloticus"
"WOS:000233076300034","Profiling Mycobacterium ulcerans with hsp65","Mycobacterium marinum"
"WOS:000233301000068","Characterization of an iodothyronine 5 '-deiodinase in gilthead seabream (Sparus auratus) that is inhibited by dithiothreitol","Fundulus heteroclitus"
"WOS:000233381100011","Inter- and intra-species variation in acute zinc tolerance of field-collected cladoceran populations","Daphnia magna"
"WOS:000233834400006","Are behavioural traits in prey sensitive to the risk imposed by predatory fish?","Perca fluviatilis"
"WOS:000234214500004","Biogenic silica in tidal freshwater marsh sediments and vegetation (Schelde estuary, Belgium)","Phragmites australis"
"WOS:000234261600010","Effects of microcystins on fish","Trutta trutta"
"WOS:000234261600011","Toxicity, accumulation, and retention of zinc by carp under normoxic and hypoxic conditions","Cyprinus carpio"
"WOS:000234345400015","Azolla research. Comments on a paper entitled 'Use of a natural aquatic fern, Azolla microphylla, as a main component in food for the omnivorous-phytoplanktonophagous tilapia, Oreochromis niloticus L.' - (J. Appl. lchthyol. 2004 : 20, 517-520)","Oreochromis niloticus"
"WOS:000234463100013","Fungal ecology and succession on Phragmites australis in a brackish tidal marsh. II. Stems","Phragmites australis"
"WOS:000234826102420","Identification of cis-regulatory elements controlling two differentially expressed Pit-1 genes in the duplicated genome of Cyprinus carpio","Cyprinus carpio"
"WOS:000234935200010","Association of Flavobacterium psychrophilum strains with intestinal explants of rainbow trout Oncorhynchus mykiss","Oncorhynchus mykiss"
"WOS:000234956600017","Levels and distribution of organochlorine pesticides, polychlorinated biphenyls and polybrominated diphenyl ethers in sediments and biota from the Danube Delta, Romania","Perca fluviatilis"
"WOS:000234983100010","PCR-DGGE method to assess the diversity of BTEX mono-oxygenase genes at contaminated sites","Pseudomonas stutzeri"
"WOS:000235113100002","Changes in diatom assemblages in an Andean lake in response to a recent volcanic event","Asterionella formosa"
"WOS:000235121800013","A PCR survey for posterior Hox genes in amphibians","Petromyzon marinus"
"WOS:000235169200013","A bioenergetics model for juvenile flounder Platichthys flesus","Pleuronectes flesus"
"WOS:000235210100003","Fish pass effectiveness for bullhead (Cottus gobio), perch (Perca fluviatilis) and roach (Rutilus rutilus) in a regulated lowland river","Rutilus rutilus"
"WOS:000235234700003","Maintenance threonine requirement and efficiency of its use for accretion of whole-body threonine and protein in Atlantic salmon (Salmo salar L.) fry","Salmo salmo"
"WOS:000235263300011","Study of sex ratio in progeny of a complex Oreochromis hybrid, the Florida red tilapia","Oreochromis urolepis"
"WOS:000235271600003","The functional meaning of ""prey size"" in water snakes (Nerodia fasciata, Colubridae)","Nerodia fasciata"
"WOS:000235331600001","Daphnia community analysis in shallow Kenyan lakes and ponds using dormant eggs in surface sediments","Daphnia pulex"
"WOS:000235337600125","Cranial morphological specializations related to burrowing: A case study of head-and tail-first-burrowing Pisodonophis boro.","Pisodonophis boro"
"WOS:000235344400260","Identification of novel prolactin releasing peptide receptors of Cyprinus carpio and Salmo salar expressed in the pituitary gland","Salmo salmo"
"WOS:000235407900029","Genetic diversity in Mycobacterium ulcerans isolates from Ghana revealed by a newly identified locus containing a variable number of tandem repeats","Mycobacterium marinum"
"WOS:000235469400010","Early development of the chondrocranium in Salmo letnica (Karaman, 1924) (Teleostei : Salmonidae)","Salmo salmo"
"WOS:000235469400014","Assessment and control of non-indigenous brown bullhead Ameiurus nebulosus populations using fyke nets in shallow ponds","Ameiurus nebulosus"
"WOS:000235544600002","Immunostimulatory nature of beta-glucans and baker's yeast in gnotobiotic Artemia challenge tests","Labrax labrax"
"WOS:000235547400014","Colonization and early succession on artificial hard substrata by meiofauna","Adoncholaimus thalassophygas"
"WOS:000235916600008","Molecular impact of propiconazole on Daphnia magna using a reproduction-related cDNA array","Daphnia magna"
"WOS:000236055700012","Short-term exposure to low concentrations of the synthetic androgen methyltestosterone affects vitellogenin and steroid levels in adult male zebrafish (Danio rerio)","Oryzias latipes"
"WOS:000236087600018","Zebrafish and Xenopus tadpoles: Small animal models to study angiogenesis and lymphangiogenesis","Oryzias latipes"
"WOS:000236095900010","1,2,4-trichlorobenzene marine risk assessment with special emphasis on the Osparcom region North Sea","Jordanella floridae"
"WOS:000236502900002","Does sediment grain size affect diatom grazing by harpacticoid copepods?","Navicula phyllepta"
"WOS:000236523800005","Ultrastructure and taxonomic position of two species of the cyanobacterial genus Schizothrix","Schizothrix lacustris"
"WOS:000237148700003","Effects of pan-frying in margarine and olive oil on the fatty acid composition of cod and salmon","Salmo salar"
"WOS:000237157400008","Inter-annual and diel patterns of the drift of cyprinid fishes in a small tributary of the Meuse River, Belgium","Trutta trutta"
"WOS:000237187200026","Heterogeneity among Mycobacterium ulcerans isolates from Africa","Mycobacterium marinum"
"WOS:000237326200026","Recent advances in rapid ecotoxicity screening","Daphnia magna"
"WOS:000237484200001","Is diatom size selection by harpacticoid copepods related to grazer body size?","Asellus aquaticus"
"WOS:000237552100027","Report on the polycystididae (Rhabdocoela, kalyptorhynchia) from Australia, with the description of twelve new species and six new genera","Gyratrix hermaphroditus"
"WOS:000237602600005","Development of chronic tests for endocrine active chemicals - Part 1. An extended fish early-life stage test for oestrogenic active chemicals in the fathead minnow (Pimephales promelas)","Rutilus rutilus"
"WOS:000237635900030","Isolation and characterization of polymorphic microsatellite loci in the gudgeon, Gobio gobio (Cyprinidae)","Gobio gobio"
"WOS:000237635900083","Discriminating glacial races of burbot (Lota lota) by means of PCR-RF-SSCP (PRS) analysis of the mitochondrial control region","Lota lota"
"WOS:000237643700010","Activation of a sensorimotor pathway in response to a water temperature drop in a teleost fish","Cyprinus carpio"
"WOS:000237670600004","Trophic relationships in the Rhine food web during invasion and after establishment of the Ponto-Caspian invader Dikerogammarus villosus","Dikerogammarus villosus"
"WOS:000237751700009","Spatiotemporal structure of genetic variation of a spreading plant metapopulation on dynamic riverbanks along the Meuse River","Hibiscus moscheutos"
"WOS:000237827300003","Developmental mechanisms underlying tooth patterning in continuously replacing osteichthyan dentitions","Salmo gairdneri"
"WOS:000237836300014","Cadmium and zinc induction of ZnT-1 mRNA in an established carp cell line","Cyprinus carpio"
"WOS:000238065900003","Genetic diversity and population history of the migratory catfishes Pangasianodon hypophthalmus and Pangasius bocourti in the Cambodian Mekong River","Pangasius pangasius"
"WOS:000238143900007","Evidence for isolation by time in the European eel (Anguilla anguilla L.)","Anguilla anguilla"
"WOS:000238236700042","Experimental evidences of a structural and dynamical transition in fish school","Oreochromis niloticus"
"WOS:000238409600016","A novel approach to identifying regulatory motifs in distantly related genomes","Fugu rubripes"
"WOS:000238457300001","Microsatellites and their genomic distribution, evolution, function and applications: A review with special reference to fish genetics","Salmo salar"
"WOS:000238557000001","Metal accumulation in intertidal litter through decomposing leaf blades, sheaths and stems of Phragmites australis","Phragmites australis"
"WOS:000238829000001","Effect of dietary inulin and oligosaccharides as prebiotics for weaning turbot, Psetta maxima (Linnaeus, C. 1758)","Vibrio subtilis"
"WOS:000238957800188","Exposure of juvenile Atlantic salmon (Salmo salar) to dehp: Elimination and gonad differentiation","Salmo salmo"
"WOS:000238963500006","Anion-exchange high performance liquid chromatography hyphenated to inductively coupled plasma-isotope dilution-time-of-flight mass spectrometry for speciation analysis of metal complexes with metallothionein isoforms in gibel carp (Carassius auratus gibelio) exposed to environmental metal pollution","Cyprinus gibelio"
"WOS:000239023200003","The european eel (Anguilla anguilla, Linnaeus), its lifecycle, evolution and reproduction: a literature review","Anguilla rostrata"
"WOS:000239040500010","Tracing of labile zinc in live fish hepatocytes using FluoZin-3","Salmo salmo"
"WOS:000239258900010","Oogamous reproduction, with two-step auxosporulation, in the centric diatom Thalassiosira punctigera (Bacillariophyta)","Thalassiosira weissflogii"
"WOS:000239258900013","Relationships between growth rate, cell size, and induction of spermatogenesis in the centric diatom Thalassiosira weissflogii (Bacillariophyta)","Thalassiosira weissflogii"
"WOS:000239621300009","Brown trout fry move inshore at night: a choice of water depth or velocity?","Trutta trutta"
"WOS:000239688900008","Cloning of the prepro C-RFa gene and brain localization of the active peptide in Salmo salar","Salmo salmo"
"WOS:000239778900012","Genetic structure of the European polecat (Mustela putorius) and its implication for conservation strategies","Lutra lutra"
"WOS:000239796900005","The colour pattern of the caudal fin, a useful criterion for identification of two species of Tilapia and their hybrids","Tilapia zillii"
"WOS:000240042700017","Multiscale approach of fish responses to different types of environmental contaminations: A case study","Salmo nasus"
"WOS:000240078700002","Ultrastructural changes of the carp (Cyprinus carpio) hepatocyte nucleolus during seasonal acclimatization","Cyprinus carpio"
"WOS:000240217300002","A functional perspective on sexual selection: insights and future prospects","Poecilia reticulata"
"WOS:000240320800002","First report of Gyrodactylus spp. (Platyhelminthes : Monogenea) in the western Mediterranean Sea: Molecular and morphological descriptions","Pungitius pungitius"
"WOS:000240360300015","Dynamics of cadmium accumulation and effects in common carp (Cyprinus carpio) during simultaneous exposure to water and food (Tubifex tubifex)","Salmo mykiss"
"WOS:000240540000007","Expression profiling of endocrine-disrupting compounds using a customized Cyprinus carpio cDNA microarray","Salmo salar"
"WOS:000240662400018","Using quantitative PCR to determine the distribution of a semicryptic benthic diatom, Navicula phyllepta (Bacillariophyceae)","Navicula phyllepta"
"WOS:000240701200001","Phytoremediation of selenium using subsurface-flow constructed wetland","Phragmites australis"
"WOS:000241052200009","Formation of a successional dental lamina in the zebrafish (Danio rerio): support for a local control of replacement tooth initiation","Hemichromis bimaculatus"
"WOS:000241102600022","Microsatellite conservation and Bayesian individual assignment in four Anguilla species","Anguilla rostrata"
"WOS:000241139800027","Seasonal dynamics of population genetic structure in cryptic taxa of the Pellioditis marina complex (Nematoda : Rhabditida)","Trutta trutta"
"WOS:000241263000030","Interfollicular fibrosis in the thyroid of the harbour porpoise: An endocrine disruption?","Phoca vitulina"
"WOS:000241313000009","Swimming performance and energy metabolism of rainbow trout, common carp and gibel carp respond differently to sublethal copper exposure","Trutta trutta"
"WOS:000241466800015","Diel Vertical Migration of zooplankton in tropical, high mountain lakes (Andes, Bolivia)","Daphnia pulex"
"WOS:000241607700003","Application of in-situ bioassays with macrophytes in aquatic mesocosm studies","Myriophyllum spicatum"
"WOS:000241630100001","Zooplankton of Lake Kivu, East Africa, half a century after the Tanganyika sardine introduction","Diaphanosoma excisum"
"WOS:000241791200010","Distribution of epilithic diatoms in response to environmental conditions in an urban tropical stream, Central Kenya","Navicula schroeteri"
"WOS:000241822400015","Gomphonema isabellae van de Vijver sp nov., a new freshwater diatom species from sub-Antarctic Macquarie Island (southern Pacific Ocean)","Gomphonema acuminatum"
"WOS:000241858800006","Invasion of an asexual American water flea clone throughout Africa and rapid displacement of a native sibling species","Daphnia pulex"
"WOS:000241893000048","Use of carbon and energy sources by nematodes","Adoncholaimus thalassophygas"
"WOS:000242064100009","Patterns of gene expression in carp liver after exposure to a mixture of waterborne and dietary cadmium using a custom-made microarray","Perca flavescens"
